Mixture	colonocyte	plasma	AOM_tumor	squamous	CAF	Paneth-like	endothelial	macrophage	T_cell	neutrophil	B cell	erythroid	goblet	stem	enteroendocrine	P-value	Correlation	RMSE
P17508_114	0.765814188664765	0.00116844562893383	0.00978551401851441	0	0	0.00391835499703926	0	0	0	0	0	0	0.12048352227986	0.0977609475417095	0.00106902686917834	0	0.724498532616217	0.803787764472789
P17508_146	0.802454885935717	0.00101901559303141	0.0134853560588101	0	0	0	0	0	0	0	0	0	0.100435987922041	0.0802770580951572	0.00232769639524353	0	0.787456169255909	0.775375721979653
P17508_149	0.921314447788384	0.00280759357222231	0.0289516905795554	0	0	0.0184162769943755	0	0	0	0	0	0	0.0285099910654632	0	0	0	0.833377522203688	0.740692714325266
P17508_116	0.414975737863858	0.00725875295193728	0.391108083518125	0.00854092318950158	0.00894700954774855	0.0400058893152231	0	0	0	0.00122604285203162	0	2.00246319047824e-06	0.0341583097613858	0.0937772485369984	0	0	0.793073739932391	0.862681876443496
P17508_131	0.766358686640646	0.0159211258605684	0.115973771480919	0	0.024183035486733	0.0396698401574107	0	0.0197788529037343	0	0	0.00310969169138328	0	0.0133040260013064	0.00170096977729884	0	0	0.753105576146599	0.803338194903397
P17508_145	0.279385534276181	0.0114854308374794	0.504182591740353	0.00577330107102035	0.0244395553222457	0.0851371899278883	0	0.00942683799526853	0	0.00251191414806402	0.000955769443537585	0	0	0.0767018752379621	0	0	0.74912529457793	0.896281670191943
P17508_174	0.537697333153649	0.00557587882677535	0.380706866246074	0.00803140694987307	0.0104021143151312	0.0314967851753032	0	0.0149072923447722	0	0	0.00299098773583082	0	0	0.0081913352525915	0	0	0.762838158204314	0.850627849654006
P17508_179	0.387440404781488	0.00192879362029093	0.44426557123043	0.00500683890238162	0.0161216250861939	0.0620163002841055	0	0	0	0.00240958389624075	0	0	0.00770156649799821	0.0731093157008715	0	0	0.805996548707128	0.869360220925194
P17508_139	0.924261260681668	0.000378865694984918	0.0420056636338187	0	0.00986426746388751	0	0.000227765919156231	0	0	0	0	0	0.0228991341627732	0	0.000363042443711221	0	0.798748034573334	0.757481703354089
P17508_142	0.756274478524055	0.00365544236174487	0.0112627730958662	0	0	0	0	0	0	0	0	0	0.0935084680866538	0.132952272479677	0.00234656545200249	0	0.751423969047389	0.797536163902997
P17508_143	0.79894523578122	0.00164767309405065	0.0244639137772808	0	0	0	0	0	0	0	0	0	0.093397175380271	0.0796593522147662	0.0018866497524113	0	0.712584907215295	0.806779930932251
P17508_166	0.708778006252167	0.00323376896371024	0.0165335295178721	0	0	0	0	0	0	0	0	0	0.168936504040118	0.102071692063205	0.000446499162927581	0	0.735510663272707	0.802467555339894
P17508_169	0.741381156356936	0.00548236258373025	0.0395895802792225	0	0	0	0	0	0	0	0	0	0.14002162830663	0.0710020439539467	0.00252322851953392	0	0.76510448786272	0.790581696965058
